,App ID,Name,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU
19616,1657080,Soulfire : Weapon Master,"Action, Indie, Early Access","Multi-player, In-App Purchases, Online PvP, PvP",10000.0,6,3,699,699,0,0
19625,1657900,Carrier Command 2 VR,"Action, Simulation, Strategy","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Full controller support, Online PvP, Online Co-op, PvP",10000.0,66,58,0,0,0,0
19627,1658050,Really Weird Pool,"Casual, Simulation, Sports","Multi-player, Single-player, Shared/Split Screen, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,5,1,499,499,0,0
19637,1658740,Zyconix,Casual,"Multi-player, Single-player, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,0,2,699,699,0,0
19638,1658770,Grandmaster Chess,Strategy,"Multi-player, Single-player, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,2,0,699,699,0,0
19650,1659300,Hour Night,"Action, Casual, Indie, Early Access","Multi-player, Online PvP, PvP",10000.0,4,0,499,499,0,0
19664,16600,Trials 2: Second Edition,"Indie, Racing, Sports","Multi-player, Single-player, Steam Achievements",75000.0,201,37,999,999,0,1
19688,1661390,Duelist,"Action, Casual, Indie, Early Access","Multi-player, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, LAN PvP, PvP",10000.0,8,0,299,299,0,0
19701,1661950,Ace Breakout,"Action, Indie","Multi-player, Single-player, Co-op, Online Co-op, LAN Co-op",10000.0,1,0,499,499,0,0
19708,1662350,World War 2 Operation Husky,"Simulation, Strategy","Multi-player, Single-player, Steam Achievements, Shared/Split Screen, Cross-Platform Multiplayer, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,8,1,899,899,0,0
19711,1662570,Rescue Party: Live!,"Action, Indie, Simulation","Multi-player, Single-player, Co-op, Stats, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online Co-op, Shared/Split Screen Co-op, Remote Play Together",10000.0,104,47,999,999,0,2
19718,1662940,Anatomy of Fear,Indie,"Multi-player, Single-player, Co-op, Online Co-op",750000.0,12,11,399,399,0,0
19726,1663410,Happenlance,"Action, Adventure, Indie","Multi-player, Single-player, Co-op, Full controller support, Online PvP, Online Co-op, PvP",10000.0,35,3,1599,1599,0,1
19729,1663640,The Last Oricru,"Action, Adventure, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Online Co-op, Shared/Split Screen Co-op",10000.0,109,65,3999,3999,0,18
19731,1663730,SGS Afrika Korps: Tunisia,"Simulation, Strategy","Multi-player, Single-player, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,11,1,2499,2499,0,4
19732,1663860,The Guardian Stone,"Action, Adventure, Casual, Indie, RPG, Strategy, Early Access","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,8,0,1499,1499,0,1
19742,1664100,FIGHT BOTS,"Action, Indie","Multi-player, Single-player, Steam Achievements, Steam Cloud, LAN PvP, PvP",10000.0,4,0,299,299,0,0
19743,1664220,TRAIL OUT,"Action, Casual, Indie, Racing","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Shared/Split Screen Co-op, Remote Play Together",35000.0,1111,232,1999,1999,0,25
19757,1665080,JUMANJI: The Curse Returns,"Adventure, Casual, Indie, Simulation","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Online Co-op",10000.0,25,21,999,999,0,0
19759,1665130,PAC-MAN MUSEUM+,"Action, Casual","Multi-player, Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Full controller support",10000.0,164,18,1999,1999,0,3
19761,1665190,Monster Prom 3: Monster Roadtrip,"Casual, Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Steam Cloud, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, PvP",75000.0,1052,8,1199,1199,0,300
19767,1665490,Dead Survival,"Action, Massively Multiplayer, RPG, Simulation, Early Access","Multi-player, Co-op, MMO, Online PvP, Online Co-op, PvP",10000.0,5,15,1499,1499,0,1
19783,1666240,Crimson Glaive Sigma,"Action, Adventure, Indie","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen Co-op, Remote Play Together",10000.0,5,0,1299,1299,0,0
19787,1666500,Write 'n' Fight,"Action, Indie, Massively Multiplayer","Multi-player, Single-player, Online PvP, PvP",10000.0,6,9,0,0,0,1
19794,1666970,Frog Fight,"Action, Indie","Multi-player, Online PvP, PvP",10000.0,24,3,99,99,0,0
19812,1668080,Flåklypa Grand Prix,"Action, Racing","Multi-player, Single-player, Partial Controller Support, Steam Achievements, Shared/Split Screen, Shared/Split Screen PvP, PvP",10000.0,142,134,3499,3499,0,8
19828,1669030,Indigo 7,"Indie, Strategy","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,3,1,1499,1499,0,0
19840,1670,Iron Warriors: T - 72 Tank Command ,Strategy,"Multi-player, Single-player",35000.0,172,103,499,499,0,0
19843,1670120,Turn the Line!,"Casual, Indie, Early Access","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen Co-op, Remote Play Together",10000.0,78,5,1399,1399,0,0
19860,1671310,Trash is Fun,"Action, Adventure, Casual, Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen Co-op, Remote Play Together",10000.0,12,2,499,499,0,0
19861,1671330,Suspect Enemy,"Action, Casual, Indie, Massively Multiplayer, Sports, Strategy","Multi-player, Co-op, Steam Achievements, Online PvP, Online Co-op, PvP",10000.0,20,4,99,499,80,0
19864,1671400,Waifu Covered 2 : Censored Edition,"Action, Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Steam Leaderboards, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,3,1,499,499,0,0
19866,1671440,Cliché Adventure,"Action, Adventure, Indie","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",35000.0,0,1,299,299,0,0
19875,1672170,FOOTBALLER,"Casual, Massively Multiplayer, RPG, Simulation, Sports","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,7,5,100,100,0,0
19894,1672970,Minecraft Dungeons,"Action, Adventure, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Steam Trading Cards, Online Co-op, Shared/Split Screen Co-op",750000.0,5386,512,1999,1999,0,403
19917,1673650,¡Arre Unicornio!,"Casual, Indie, Strategy, Early Access","Multi-player, Single-player, Steam Achievements, Online PvP, PvP",10000.0,11,0,299,299,0,0
19923,1674020,Lost in Red Valley,"Action, Adventure, RPG, Early Access","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,4,3,499,499,0,0
19929,1674270,Cyberfrags '69,"Action, Early Access","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,104,0,499,499,0,0
