playtime_forever,App ID,Name,Short Description,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU,Is Multiplayer,Review Ratio
61.2,435150,Divinity: Original Sin 2 - Definitive Edition,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","Adventure, RPG, Strategy","Multi-player, Single-player, Co-op, Captions available, Includes level editor, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Steam Workshop, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",7500000.0,146026,6056,4499,4499,0,10006,Y,24.112615587846765
48.96666666666667,550,Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Captions available, Commentary available, Stats, Includes Source SDK, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Steam Workshop, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",35000000.0,643836,16828,999,999,0,19084,Y,38.25980508676016
47.4,105600,Terraria,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","Action, Adventure, Indie, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, PvP",35000000.0,1014711,22380,999,999,0,58984,Y,45.34008042895442
33.4,72850,The Elder Scrolls V: Skyrim,"EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.",RPG,"Single-player, Partial Controller Support, Steam Achievements, Steam Cloud, Steam Trading Cards, Steam Workshop",7500000.0,295128,16066,1999,1999,0,5159,N,18.369724884849997
32.5,339610,Freestyle 2: Street Basketball,Freestyle 2: Street Basketball is a fast paced online arcade basketball game. Create your own unique player and compete in the online street league! Use variety of b-ball moves and customize your player! Team up with the best street ballers online and rise to the top!,"Action, Casual, Free to Play, Massively Multiplayer, Sports","Multi-player, Co-op, Partial Controller Support, MMO, Steam Trading Cards, Online PvP, Online Co-op, PvP",7500000.0,8696,3199,0,0,0,358,Y,2.718349484213817
30.316666666666666,333930,Dirty Bomb,Work together or die alone! Fight to restore peace to London or tear it down for profit in the most challenging team based shooter around.,"Action, Free to Play","Multi-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Online PvP, PvP",7500000.0,47126,10876,0,0,0,131,Y,4.333026848105921
28.766666666666666,221040,Resident Evil 6,"Blending action and survival horror, Resident Evil 6 promises to be the dramatic horror experience of 2013.","Action, Adventure","Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Steam Trading Cards, Remote Play Together",3500000.0,31665,7925,2999,2999,0,708,Y,3.995583596214511
26.35,280790,Creativerse,A sandbox game as big as your imagination.,"Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Simulation","Multi-player, Single-player, Co-op, MMO, Steam Trading Cards, Steam Workshop, In-App Purchases, Online PvP, Online Co-op, PvP",3500000.0,24010,5728,0,0,0,157,Y,4.191689944134078
25.95,1172470,Apex Legends,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","Action, Adventure, Free to Play","Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Online PvP, Online Co-op, PvP",35000000.0,450786,76889,0,0,0,314468,Y,5.862815227145625
25.716666666666665,728880,Overcooked! 2,Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!,"Action, Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",3500000.0,38963,4152,2499,2499,0,3312,Y,9.384152215799617
24.75,306130,The Elder Scrolls Online,"Join over 20 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.","Action, Adventure, Massively Multiplayer, RPG","Multi-player, Co-op, Captions available, Partial Controller Support, MMO, Steam Trading Cards, In-App Purchases, Online PvP, Online Co-op, PvP",7500000.0,102825,22879,1999,1999,0,19200,Y,4.494296079374099
